participant_id,noise_db,pitch_hz
P01, 40, 541
P01, 45, 543
P01, 50, 545
P01, 55, 554
P01, 60, 568
P01, 65, 528
P01, 70, 566
P01, 75, 590
P01, 80, 582
P02, 40, 441
P02, 45, 455
P02, 50, 472
P02, 55, 460
P02, 60, 739
P02, 65, 738
P02, 70, 517
P02, 75, 602
P02, 80, 612
P03, 40, 431
P03, 45, 707
P03, 50, 703
P03, 55, 693
P03, 60, 714
P03, 65, 698
P03, 70, 713
P03, 75, 701
P03, 80, 738
P04, 40, 594
P04, 45, 586
P04, 50, 437
P04, 55, 589
P04, 60, 541
P04, 65, 591
P04, 70, 487
P04, 75, 577
P04, 80, 571
P05, 40, 511
P05, 45, 468
P05, 50, 517
P05, 55, 491
P05, 60, 522
P05, 65, 507
P05, 70, 492
P05, 75, 485
P05, 80, 524
P06, 40, 402
P06, 45, 407
P06, 50, 425
P06, 55, 523
P06, 60, 492
P06, 65, 537
P06, 70, 541
P06, 75, 492
P06, 80, 501
